"","id","fast_greedy","walks","infomap","louvain"
"1","1",2,3,1,1
"2","3",2,3,1,1
"3","4",2,3,1,1
"4","6",4,4,1,1
"5","11",2,3,1,1
"6","12",2,3,1,1
"7","14",2,3,1,1
"8","16",2,3,1,1
"9","17",2,3,1,1
"10","18",2,3,1,1
"11","22",2,3,1,1
"12","24",2,3,1,1
"13","25",2,3,1,1
"14","26",2,3,1,1
"15","28",4,4,1,1
"16","30",2,3,1,1
"17","31",2,3,1,2
"18","32",2,3,1,2
"19","33",2,3,1,2
"20","39",2,3,1,2
"21","41",2,3,1,1
"22","45",1,4,1,1
"23","47",1,4,1,1
"24","48",2,3,1,3
"25","51",2,3,1,1
"26","52",2,3,1,1
"27","54",2,3,1,1
"28","55",2,3,1,1
"29","57",2,3,1,1
"30","58",2,3,1,2
"31","65",2,3,1,1
"32","66",2,3,1,1
"33","67",2,3,1,1
"34","68",2,3,1,1
"35","71",2,3,1,1
"36","72",2,3,1,1
"37","73",2,3,1,1
"38","76",4,4,1,1
"39","77",2,3,1,1
"40","78",2,3,1,1
"41","81",4,3,1,1
"42","83",1,4,1,3
"43","84",2,3,1,1
"44","88",2,3,1,1
"45","89",2,3,1,1
"46","93",2,3,1,1
"47","95",2,3,1,1
"48","98",4,3,1,1
"49","99",1,4,1,1
"50","100",1,4,1,3
"51","101",2,3,1,3
"52","102",2,3,1,2
"53","104",2,3,1,2
"54","106",1,4,1,1
"55","107",2,3,1,1
"56","108",1,4,1,3
"57","109",4,3,1,1
"58","112",2,3,1,3
"59","116",4,4,1,1
"60","119",2,3,1,1
"61","120",2,3,1,1
"62","121",1,4,1,1
"63","122",2,3,1,2
"64","123",2,3,1,1
"65","127",2,3,1,1
"66","129",4,4,1,1
"67","132",2,3,1,2
"68","135",2,3,1,1
"69","141",4,4,1,1
"70","144",3,3,1,3
"71","147",2,3,1,1
"72","153",1,1,3,4
"73","154",2,3,1,1
"74","159",4,4,1,1
"75","162",2,3,1,1
"76","170",2,3,1,1
"77","174",2,3,1,3
"78","175",2,3,1,2
"79","188",1,4,1,1
"80","189",2,3,1,1
"81","192",4,4,1,1
"82","193",2,3,1,3
"83","194",2,3,1,3
"84","199",2,3,1,3
"85","203",2,3,1,1
"86","204",2,3,1,1
"87","214",2,3,1,1
"88","215",2,3,1,1
"89","217",2,3,1,3
"90","227",2,3,1,1
"91","229",1,4,1,3
"92","230",2,3,1,3
"93","234",2,3,1,1
"94","239",4,3,1,1
"95","242",4,4,1,1
"96","244",2,3,1,1
"97","246",2,3,1,1
"98","251",2,3,1,2
"99","253",2,3,1,2
"100","254",2,3,1,1
"101","260",4,3,1,1
"102","263",2,3,1,2
"103","264",2,3,1,1
"104","272",2,3,1,3
"105","273",2,3,1,3
"106","275",2,3,1,1
"107","281",1,4,1,3
"108","287",2,3,1,1
"109","299",1,4,1,3
"110","306",4,3,1,1
"111","313",4,3,1,1
"112","315",4,4,1,1
"113","319",2,3,1,1
"114","324",2,3,1,3
"115","326",2,3,1,2
"116","331",2,3,1,1
"117","334",2,3,1,3
"118","335",2,3,1,1
"119","338",2,3,1,3
"120","339",2,3,1,1
"121","351",2,3,1,1
"122","354",1,4,1,3
"123","356",1,1,2,4
"124","358",2,3,1,1
"125","361",2,3,1,1
"126","364",2,3,1,1
"127","365",2,3,1,1
"128","372",2,3,1,1
"129","374",2,3,1,1
"130","381",4,3,1,1
"131","383",4,4,1,1
"132","386",4,4,1,1
"133","388",2,4,1,1
"134","391",1,4,1,1
"135","405",1,1,2,4
"136","425",4,3,1,1
"137","427",2,3,1,1
"138","428",1,1,3,4
"139","430",1,1,2,4
"140","433",2,3,1,1
"141","436",2,3,1,1
"142","439",2,3,1,1
"143","440",3,4,1,3
"144","448",2,2,1,2
"145","456",4,4,1,1
"146","457",4,3,1,1
"147","465",2,3,1,2
"148","471",2,2,1,2
"149","480",2,2,1,2
"150","485",2,2,1,2
"151","486",2,3,1,2
"152","492",2,2,1,2
"153","497",2,2,1,2
"154","507",2,3,1,2
"155","510",2,2,1,2
"156","512",2,3,1,2
"157","517",2,2,1,2
"158","533",2,3,1,2
"159","534",2,3,1,2
"160","541",1,1,3,4
"161","544",2,3,1,1
"162","545",4,4,1,1
"163","553",2,3,1,2
"164","557",2,3,1,1
"165","572",2,3,1,1
"166","574",2,3,1,1
"167","577",2,2,1,2
"168","579",2,3,1,3
"169","587",2,3,1,2
"170","588",2,3,1,2
"171","593",2,3,1,1
"172","631",1,4,1,3
"173","646",1,4,1,3
"174","662",1,1,2,4
"175","695",2,3,1,1
"176","697",2,3,1,1
"177","698",2,3,1,2
"178","699",2,3,1,2
"179","703",2,3,1,3
"180","713",4,3,1,1
"181","718",2,3,1,2
"182","748",2,3,1,1
"183","762",1,4,1,3
"184","2",1,1,2,4
"185","5",1,1,2,4
"186","20",4,3,1,1
"187","27",2,3,1,1
"188","29",1,1,4,4
"189","36",1,1,2,4
"190","37",1,1,2,4
"191","38",1,1,2,4
"192","43",4,4,1,1
"193","44",1,4,1,1
"194","49",1,4,1,4
"195","53",1,4,1,4
"196","56",4,4,1,1
"197","64",4,4,1,1
"198","97",1,1,2,4
"199","103",1,1,3,4
"200","105",1,1,4,4
"201","111",1,1,3,4
"202","113",1,1,2,4
"203","124",1,1,2,4
"204","126",2,3,1,1
"205","128",1,1,2,4
"206","130",2,3,1,2
"207","133",1,1,2,4
"208","137",1,1,2,4
"209","142",1,1,2,4
"210","143",1,1,2,4
"211","145",1,1,2,4
"212","150",1,1,2,4
"213","151",1,1,4,4
"214","155",1,1,2,4
"215","157",1,1,2,4
"216","158",1,1,2,4
"217","160",1,4,1,3
"218","163",1,1,2,4
"219","164",1,4,4,4
"220","165",1,4,4,4
"221","166",1,1,3,4
"222","167",1,1,2,4
"223","168",1,1,2,4
"224","169",1,4,1,1
"225","171",1,1,2,4
"226","172",1,1,2,4
"227","177",1,4,1,3
"228","180",1,4,1,4
"229","181",1,1,2,4
"230","182",4,4,1,1
"231","184",4,4,1,1
"232","186",1,4,1,1
"233","187",1,1,2,4
"234","191",1,1,3,4
"235","196",2,3,1,3
"236","208",4,4,1,1
"237","209",1,1,2,4
"238","210",4,4,1,1
"239","212",1,1,2,4
"240","213",1,4,3,4
"241","216",1,1,2,4
"242","219",1,1,2,4
"243","220",1,1,2,4
"244","222",1,1,3,4
"245","224",1,1,4,4
"246","225",1,1,4,4
"247","228",1,4,1,3
"248","231",1,1,2,4
"249","233",1,4,1,3
"250","236",2,3,1,2
"251","238",4,4,1,1
"252","243",1,4,1,3
"253","248",1,1,3,4
"254","250",1,1,2,4
"255","258",1,1,3,4
"256","259",1,4,1,3
"257","261",1,1,3,4
"258","265",1,4,1,4
"259","266",1,1,2,4
"260","268",1,4,1,3
"261","274",1,1,2,4
"262","277",1,1,3,4
"263","288",1,1,2,4
"264","289",1,4,1,4
"265","290",1,4,1,1
"266","292",1,1,2,4
"267","293",1,1,2,4
"268","296",1,1,2,4
"269","300",1,1,3,4
"270","303",1,1,3,4
"271","304",1,1,3,4
"272","307",1,1,3,4
"273","316",1,4,1,3
"274","325",4,4,1,1
"275","332",1,1,2,4
"276","333",1,1,3,4
"277","337",1,1,4,4
"278","341",1,4,1,3
"279","345",1,1,2,4
"280","348",1,4,1,4
"281","349",1,4,1,1
"282","350",1,1,3,4
"283","359",1,4,1,3
"284","366",1,4,1,4
"285","368",1,1,2,4
"286","373",1,1,2,4
"287","375",1,1,2,4
"288","377",2,3,1,3
"289","378",1,1,2,4
"290","379",1,1,4,4
"291","380",1,4,1,4
"292","382",1,4,1,4
"293","384",1,1,2,4
"294","389",1,4,3,4
"295","392",1,1,2,4
"296","394",4,4,1,1
"297","395",1,1,2,4
"298","396",4,4,1,1
"299","397",1,4,4,4
"300","398",1,1,2,4
"301","400",4,4,1,1
"302","402",4,4,1,1
"303","403",1,4,1,1
"304","404",1,1,3,4
"305","406",1,1,3,4
"306","407",1,1,3,4
"307","408",4,4,1,1
"308","410",4,4,1,1
"309","426",1,4,1,3
"310","432",1,1,3,4
"311","442",1,1,4,4
"312","515",1,1,2,4
"313","527",1,1,2,4
"314","528",1,4,1,4
"315","529",1,1,2,4
"316","543",1,1,4,4
"317","559",1,1,4,4
"318","560",1,1,4,4
"319","562",2,3,1,1
"320","564",2,3,1,3
"321","566",1,1,2,4
"322","568",1,4,4,4
"323","571",1,1,4,4
"324","573",1,1,2,4
"325","584",1,1,4,4
"326","589",1,1,2,4
"327","590",4,4,1,1
"328","591",1,1,2,4
"329","592",1,1,4,4
"330","595",1,1,2,4
"331","596",1,1,2,4
"332","598",1,1,2,4
"333","599",1,1,2,4
"334","601",1,1,2,4
"335","604",4,3,1,1
"336","605",1,4,1,1
"337","606",1,1,4,4
"338","607",1,1,2,4
"339","608",1,1,2,4
"340","609",1,1,2,4
"341","611",1,1,4,4
"342","613",1,1,2,4
"343","616",1,1,2,4
"344","618",1,1,2,4
"345","619",1,1,2,4
"346","620",1,1,2,4
"347","622",1,1,4,4
"348","626",1,1,2,4
"349","628",1,1,2,4
"350","632",1,1,2,4
"351","633",1,1,2,4
"352","634",1,1,2,4
"353","635",1,1,2,4
"354","636",1,1,2,4
"355","638",1,1,2,4
"356","643",1,1,4,4
"357","644",1,1,2,4
"358","647",1,1,2,4
"359","649",1,1,2,4
"360","650",1,1,4,4
"361","651",1,1,2,4
"362","652",1,1,4,4
"363","655",1,1,2,4
"364","657",1,1,2,4
"365","660",1,1,2,4
"366","661",1,1,4,4
"367","663",1,1,4,4
"368","664",1,1,2,4
"369","666",1,1,2,4
"370","667",1,1,2,4
"371","668",1,1,2,4
"372","671",1,1,2,4
"373","678",1,1,2,4
"374","679",1,1,2,4
"375","682",1,1,2,4
"376","686",1,1,2,4
"377","687",1,1,2,4
"378","690",1,1,2,4
"379","691",1,1,2,4
"380","696",1,1,2,4
"381","700",1,1,2,4
"382","701",1,1,2,4
"383","704",1,1,2,4
"384","707",1,1,2,4
"385","710",1,1,2,4
"386","720",1,1,2,4
"387","723",1,1,2,4
"388","727",1,1,2,4
"389","729",1,1,2,4
"390","730",1,1,2,4
"391","733",1,4,3,4
"392","736",1,1,4,4
"393","737",1,1,2,4
"394","738",1,1,2,4
"395","739",1,1,2,4
"396","740",1,1,4,4
"397","742",1,1,4,4
"398","743",1,1,2,4
"399","745",1,1,2,4
"400","751",2,3,1,1
"401","753",1,1,2,4
"402","754",1,1,4,4
"403","755",1,1,2,4
"404","757",1,1,2,4
"405","759",4,4,1,1
"406","760",4,4,1,1
"407","761",1,1,2,4
"408","770",1,1,2,4
"409","775",1,1,2,4
"410","9",2,3,1,3
"411","13",4,3,1,1
"412","15",2,3,1,1
"413","19",2,3,1,1
"414","23",2,3,1,1
"415","40",2,3,1,2
"416","42",2,3,1,1
"417","50",2,3,1,2
"418","59",2,3,1,1
"419","62",3,3,1,3
"420","63",2,3,1,1
"421","69",4,3,1,1
"422","70",2,3,1,1
"423","75",2,3,1,1
"424","80",2,3,1,3
"425","85",2,3,1,3
"426","87",2,2,1,2
"427","92",2,3,1,3
"428","96",2,3,1,2
"429","110",4,4,1,1
"430","114",4,4,1,1
"431","115",2,2,1,2
"432","134",2,2,1,2
"433","136",2,3,1,3
"434","139",3,4,1,3
"435","140",2,3,1,2
"436","146",1,4,1,3
