"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9","total"
"1",1,"61","9","1","1","2","1","4","1","1","1","1","5","11","1","1","1","1","17","14","2","2","1","1","1","1"
"2",2,"23","16","4","2","3","2","2","3","2","2","5","4","89","2","2","1","1","47","54","15","26","1","1","2","2"
"3",3,"1","18","1","1","2","3","4","1","1","1","1","1","18","1","1","1","1","16","1","23","30","1","1","1","1"
"4",4,"27","45","1","1","1","1","3","1","1","1","4","5","82","4","4","1","1","18","19","53","2","1","1","1","1"
"5",5,"3","1","2","2","3","2","2","3","2","2","3","2","11","2","2","2","1","56","8","20","23","1","1","2","2"
"6",6,"57","79","1","1","1","1","3","1","1","1","4","5","80","4","4","1","21","6","59","19","17","1","1","1","3"
"7",7,"39","8","1","1","1","1","3","1","1","1","4","5","55","4","4","1","1","42","20","65","53","1","1","1","3"
"8",8,"52","46","1","1","1","1","3","1","1","1","4","5","63","4","4","1","1","3","7","11","53","1","1","1","3"
"9",9,"13","27","1","1","4","4","1","2","1","1","2","3","26","3","3","1","10","53","66","4","1","1","1","1","1"
"10",10,"2","33","1","1","4","4","1","2","1","1","2","3","12","3","3","1","1","3","55","1","34","1","1","1","1"
"11",11,"27","20","1","1","1","1","3","1","1","1","4","5","28","4","4","1","1","3","2","55","48","1","1","1","1"
"12",12,"2","31","1","1","1","1","3","1","1","1","4","5","50","4","4","1","1","14","29","38","18","1","1","1","1"
"13",13,"45","40","1","1","1","1","3","1","1","1","4","5","92","4","4","1","1","69","1","65","45","1","1","1","1"
"14",14,"2","11","1","1","1","1","3","1","1","1","4","5","2","4","4","1","1","59","8","15","18","1","1","1","1"
"15",15,"46","20","1","1","1","1","3","1","1","1","4","5","31","4","4","1","1","10","1","9","6","1","1","1","1"
"16",16,"2","11","1","1","1","1","3","1","1","1","4","5","14","4","4","1","1","61","37","4","6","1","1","1","1"
"17",17,"8","20","1","1","2","1","4","1","1","1","4","1","50","4","1","1","1","36","2","23","6","1","1","1","1"
"18",18,"31","36","1","1","1","1","1","1","1","1","4","5","37","4","4","1","1","9","42","40","8","1","1","1","1"
"19",19,"2","20","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","16","17","1","5","1","1","1","1"
"20",20,"2","51","1","1","1","1","3","1","1","1","4","5","2","4","4","1","1","6","7","19","25","1","1","1","1"
"21",21,"8","1","1","1","1","1","3","1","1","1","4","5","10","4","4","1","1","30","21","3","34","1","1","1","1"
"22",22,"2","51","1","1","1","1","3","1","1","1","4","5","58","4","4","1","1","28","17","29","4","1","1","1","1"
"23",23,"1","22","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","14","17","21","4","1","1","1","1"
"24",24,"2","31","1","1","1","1","3","1","1","1","4","5","7","4","4","1","1","15","7","22","22","1","1","1","1"
"25",25,"2","4","1","1","1","1","3","1","1","1","4","5","55","4","4","1","1","16","43","38","21","1","1","1","1"
"26",26,"2","36","1","1","1","1","3","1","1","1","4","5","7","4","4","1","23","25","75","63","4","1","1","1","1"
"27",27,"41","4","1","1","4","4","1","2","1","1","2","3","35","3","3","1","1","71","4","16","15","1","1","1","1"
"28",28,"2","8","1","1","1","1","3","1","1","1","4","5","38","4","4","1","1","48","28","1","25","1","1","1","1"
"29",29,"21","4","1","2","3","2","2","4","2","5","5","4","59","5","2","1","1","44","45","16","23","1","1","2","5"
"30",30,"24","29","1","1","2","3","4","1","1","1","1","1","14","1","1","1","1","17","28","25","4","1","1","1","1"
"31",31,"1","23","1","1","2","3","4","1","4","3","1","1","31","1","1","1","3","22","10","13","62","1","1","1","1"
"32",32,"13","20","1","1","2","3","4","1","1","1","1","1","53","1","1","1","3","63","7","67","17","1","1","1","1"
"33",33,"1","1","1","4","2","3","4","5","4","3","1","1","45","1","1","3","3","2","10","4","13","1","1","1","1"
"34",34,"2","20","1","1","1","1","3","1","1","1","4","5","39","4","4","1","1","78","56","12","56","1","1","1","1"
"35",35,"4","58","3","2","3","2","5","4","3","2","5","4","73","2","2","1","1","29","33","74","23","1","1","2","2"
"36",36,"4","9","2","2","3","2","2","3","2","2","3","2","51","2","2","2","2","54","26","76","28","1","1","2","2"
"37",37,"26","83","2","2","3","2","2","3","2","2","5","4","89","2","2","1","6","11","8","20","47","1","1","2","2"
"38",38,"1","91","1","1","2","3","4","5","4","3","1","1","36","1","1","1","1","19","59","7","7","1","1","1","1"
"39",39,"1","25","1","1","2","3","4","5","4","3","1","1","33","1","1","1","1","19","11","20","2","1","1","1","1"
"40",40,"38","74","1","1","2","3","4","1","1","1","1","1","7","1","1","1","1","53","3","20","4","1","1","1","1"
"41",41,"38","70","1","1","2","3","4","1","1","1","1","1","49","1","1","1","1","36","7","6","4","1","1","1","1"
"42",42,"12","58","1","1","1","1","3","1","1","1","4","5","87","4","4","1","1","60","28","12","45","1","1","1","3"
"43",43,"35","62","1","1","1","1","3","1","1","1","4","5","53","4","4","1","1","7","60","28","1","1","1","1","3"
"44",44,"12","29","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","37","22","1","26","1","1","1","3"
"45",45,"18","30","1","4","2","3","4","5","4","3","1","1","81","1","1","3","1","76","61","16","32","3","1","1","1"
"46",46,"46","34","1","1","1","1","3","1","1","1","4","5","85","4","4","1","13","74","49","16","32","1","1","1","3"
"47",47,"24","51","1","1","2","4","1","2","1","1","2","3","66","3","3","1","1","8","50","31","12","1","1","1","1"
"48",48,"24","45","1","2","1","1","3","4","1","2","5","4","65","5","4","1","1","16","27","39","37","1","1","1","3"
"49",49,"1","82","1","1","2","3","4","1","4","1","1","1","39","1","1","1","1","7","7","42","7","1","1","1","1"
"50",50,"48","25","1","1","2","1","4","1","1","1","1","1","24","1","1","1","1","38","2","61","2","1","1","1","1"
"51",51,"37","20","1","1","2","3","4","1","1","1","1","1","36","1","1","1","1","16","27","11","27","1","1","1","1"
"52",52,"44","20","1","1","1","1","3","1","1","1","4","5","16","4","4","1","1","59","6","2","8","6","1","1","3"
"53",53,"2","25","1","1","2","3","4","1","1","1","1","1","35","1","1","1","1","7","17","23","2","1","1","1","1"
"54",54,"32","13","1","1","2","3","4","1","1","1","2","1","47","1","1","1","1","16","64","28","26","1","1","1","1"
"55",55,"36","12","1","1","1","1","3","1","1","1","4","5","74","4","4","1","1","14","3","21","14","1","1","1","3"
"56",56,"8","70","1","1","1","1","3","1","1","1","4","5","62","4","4","1","1","52","18","11","18","1","1","1","1"
"57",57,"1","22","1","1","2","3","4","1","1","3","1","1","52","1","1","1","1","53","39","34","21","1","1","1","1"
"58",58,"47","9","1","1","1","1","3","1","1","1","4","5","52","4","4","1","1","3","5","52","16","1","1","1","1"
"59",59,"49","70","1","1","1","1","3","1","1","1","4","5","65","4","4","1","1","21","8","41","3","10","1","1","3"
"60",60,"11","24","1","1","4","4","1","2","1","1","2","3","20","3","3","1","1","37","32","4","9","1","1","1","1"
"61",61,"10","54","1","1","4","4","1","2","1","1","2","3","65","3","3","1","10","16","50","15","60","1","1","1","1"
"62",62,"8","70","1","1","2","3","4","1","4","3","1","1","9","1","1","1","1","22","31","35","4","1","1","1","1"
"63",63,"11","32","1","1","1","1","1","2","1","1","4","3","9","3","3","1","1","21","3","14","22","1","1","1","1"
"64",64,"2","82","1","1","1","1","3","1","1","1","4","5","38","4","4","1","1","7","15","2","3","1","1","1","1"
"65",65,"1","1","1","1","2","1","4","1","1","1","4","1","61","4","1","1","1","16","17","38","9","1","1","1","1"
"66",66,"40","32","1","1","2","1","1","1","1","1","2","5","32","4","1","1","1","7","61","50","1","1","1","1","1"
"67",67,"1","34","1","1","1","1","3","1","1","1","4","5","8","4","1","1","1","24","18","41","1","1","1","1","1"
"68",68,"2","20","1","1","1","1","3","1","1","1","4","5","2","4","4","1","1","3","66","11","15","1","1","1","1"
"69",69,"2","30","1","1","1","1","3","1","1","1","4","5","94","4","1","1","1","34","71","11","3","15","1","1","1"
"70",70,"31","5","1","1","2","3","4","1","1","1","2","1","14","1","1","1","1","53","47","21","28","1","1","1","1"
"71",71,"56","52","1","1","2","1","4","1","1","1","4","1","39","4","1","1","1","51","39","23","28","1","1","1","1"
"72",72,"21","20","1","1","2","3","4","1","1","1","1","1","60","1","1","1","1","13","27","62","25","1","1","1","1"
"73",73,"49","31","1","1","4","6","1","2","1","1","2","3","51","6","3","1","1","46","12","38","6","1","1","1","1"
"74",74,"35","55","1","1","2","3","4","1","1","1","1","1","45","1","1","1","1","29","30","58","25","1","1","1","1"
"75",75,"44","58","1","1","1","1","3","1","1","1","4","5","21","4","4","1","1","44","1","4","32","1","1","1","3"
"76",76,"2","31","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","45","48","21","20","1","1","1","1"
"77",77,"40","64","1","1","2","3","4","1","1","1","1","1","50","1","1","1","1","14","48","28","19","1","1","1","1"
"78",78,"26","35","1","1","4","4","1","2","1","1","2","3","2","3","3","1","1","7","59","54","9","1","1","1","1"
"79",79,"2","64","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","20","6","28","4","1","1","1","1"
"80",80,"15","19","1","1","1","4","1","2","1","1","2","3","78","6","3","3","1","38","65","12","5","1","1","1","1"
"81",81,"8","64","1","1","1","1","1","2","1","1","2","3","18","3","3","1","1","14","30","29","9","2","1","1","1"
"82",82,"29","6","1","1","1","1","1","2","1","1","2","5","38","1","1","1","1","20","26","8","26","1","1","1","1"
"83",83,"29","20","1","1","4","4","1","2","1","1","2","3","38","3","3","1","1","21","15","59","25","1","1","1","1"
"84",84,"8","75","1","1","4","4","3","2","1","1","2","3","65","3","3","1","1","7","37","4","22","1","1","1","1"
